company_name,funding_amount,founding_year,industry_focus,location,employee_count,nlp,computer_vision,robotics,generative_ai,recommendation_systems,forecasting,automation,growth_rate,customer_acquisition_cost,retention_rate,runway_months,cluster,cluster_name,pca_x,pca_y,defensibility_score,defensibility,saturation_score,saturation
Botify AI,2500000,2018,Marketing,San Francisco,28,1,0,0,1,1,0,1,68,850,73,18,4,Language Tech,-2.549247711289886,-0.37812763570732577,0.0,Low defensibility,58.24625406593216,Moderately saturated
NeuralSense,18000000,2016,Healthcare,Boston,105,1,1,0,0,0,1,1,42,1200,81,24,1,Analytics Platforms,2.1876078969360884,-0.2757158010053644,54.3859649122807,Medium defensibility,49.68302671710966,Moderately saturated
QuantumLeap Tech,8500000,2019,Finance,New York,53,0,0,0,1,1,1,0,92,950,68,15,2,FinTech Innovators,-2.956058625862152,-0.3067949683575949,21.052631578947366,Low defensibility,48.36360596289535,Moderately saturated
VisionCore,31000000,2015,Manufacturing,Austin,187,0,1,1,0,0,0,1,35,1450,85,36,0,Enterprise Solutions,5.815343075887954,1.328103760233425,100.0,High defensibility,39.481043743408925,Low saturation
DataMind,5200000,2020,Retail,Chicago,34,1,0,0,0,1,1,0,76,780,71,12,2,FinTech Innovators,-3.2754834891078395,-1.3934248797773299,9.473684210526317,Low defensibility,48.36360596289535,Moderately saturated
RoboWorks,14700000,2017,Logistics,Seattle,95,0,1,1,0,0,0,1,48,1100,79,22,0,Enterprise Solutions,2.0654400118658227,1.9343735669571123,42.807017543859644,Medium defensibility,39.481043743408925,Low saturation
TextGenius,3800000,2019,Education,Toronto,27,1,0,0,1,0,0,0,65,820,75,14,4,Language Tech,-2.905591758095549,0.7191084744527895,4.56140350877193,Low defensibility,58.24625406593216,Moderately saturated
PredictX,10500000,2018,Insurance,London,67,1,0,0,0,0,1,1,53,980,77,20,1,Analytics Platforms,-0.16689862714811438,-1.066746468612317,28.07017543859649,Low defensibility,49.68302671710966,Moderately saturated
AutoLearn,22300000,2016,Automotive,Detroit,148,0,1,1,0,0,0,1,39,1300,83,28,0,Enterprise Solutions,4.069560560401072,1.593664024522402,69.47368421052632,Medium defensibility,39.481043743408925,Low saturation
GenCreate,7900000,2020,Media,Los Angeles,42,1,0,0,1,1,0,0,88,900,72,16,4,Language Tech,-3.488670606078664,0.01911870133527788,18.94736842105263,Low defensibility,58.24625406593216,Moderately saturated
Cognify,4100000,2019,Legal,Washington DC,31,1,0,0,0,1,0,1,59,870,74,15,4,Language Tech,-2.1041980442197286,-0.8106153352668957,5.6140350877193,Low defensibility,58.24625406593216,Moderately saturated
IntelliProcess,26500000,2015,Business Services,Singapore,173,0,0,1,0,0,1,1,37,1380,84,30,0,Enterprise Solutions,4.8727972542626885,-0.7156374212484429,84.21052631578948,High defensibility,39.481043743408925,Low saturation
FutureSight,6300000,2020,Telecommunications,Seoul,39,0,1,0,1,0,0,0,82,930,70,13,3,Visual AI,-2.816980549013237,2.8035394062695107,13.33333333333333,Low defensibility,55.0,Moderately saturated
